Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
"['Deep Learning', 'NLP', 'Sentiment Analysis']","['E-commerce', 'Sentiment Analysis']",['Bangla-BERT'],"['%', 'binary classification', 'tasks', 'accuracy', 'sentiment', 'classification', 'sentiment classification']","['classifying', 'learning', 'proposed', 'method', 'techniques', 'sentiments']","Bangla-BERT, Deep Learning, E-commerce, NLP, Sentiment Analysis","Zishan Ahmed, Shakib Sadat Shanto, Akinul Islam Jony","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/46986/26584,Advancement in Bangla Sentiment Analysis: A Comparative Study of Transformer-Based and Transfer Learning Models for E-commerce Sentiment Classification
[],[],['Bidirectional Long Short-Term Memory'],"['model', 'horizons', 'error', 'metrics', 'output', 'outputs', 'tasks', 'hour', 'transfer', 'forecasting', 'rates', 'horizon', 'result', 'robustness', 'forecast', 'learning', 'accuracy', 'adaptability', 'loss']","['model', 'error', 'versatility', 'output', 'applications', 'promise', 'tasks', 'experiment', 'highlight', 'forecasts', 'findings', 'forecasting', 'rates', 'proposed', 'time', 'capabilities', 'series', 'demonstrating']","Bidirectional Long Short-Term Memory, Convolutional Neural Network, Encoder-Decoder Networks, Multi-output forecasting, Multi-step forecasting, Time-series forecasting","Kristoko Dwi Hartomo, Joanito Agili Lopo, Hindriyanto Dwi Purnomo","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/47538/26585,Enhancing Multi-Output Time Series Forecasting with Encoder-Decoder Networks
"['Agile Methodology', 'Business Intelligence (BI)']",['Agile Methodology'],['Kitchenham'],"['timelines', 'iteration', 'end', 'solutions', 'precision', 'rapid iteration', 'backlogs', 'research', 'cycle', 'users', 'projects', 'reduction', 'skills', 'technology', 'tasks', 'advantages', 'code ownership', 'enhancement', 'cost', 'flexibility', 'defect', 'gaps', 'challenges', 'addition', 'benefits', 'elements', 'tools', 'insights', 'ownership', 'methods', 'code', 'Methods', 'mapping', 'cost reduction', 'implementation', 'management', 'time', 'adaptability', 'end users', 'success', 'value', 'collaboration']","['validated', 'guidance', 'implementation', 'baseline', 'outlined', 'establishing', 'practices', 'applications', 'research', 'factor', 'expert', 'integration', 'providing', 'groups', 'conclusion']","Agile Methodology, Business Intelligence (BI), Expert Judgement, Kitchenham, Systematic Literature Review (SLR)","Hapsari Wulandari, Teguh Raharjo","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45065/26586,Systematic Literature and Expert Review of Agile Methodology Usage in Business Intelligence Projects
['Defect Prediction'],['Transfer Learning'],"['Transfer Learning', 'Low Shot Learning']","['repository', 'increase', 'projects', 'Measure', '%', 'project', 'Experiments', 'results']","['algorithms', 'art', 'Measure', 'results', 'existing', 'state', 'F1', 'comparison', 'terms', 'literature', 'performed']","Just-in-time, Defect Prediction, Deep Learning, Transfer Learning, Low Shot Learning","Vikas Suhag, Sanjay Kumar Dubey, Bhupendra Kumar Sharma","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/46727/26587,Transfer Learning based Low Shot Classifier for Software Defect Prediction
"['Fraud Detection', 'K-Means Clustering']",['K-Means Clustering'],[],"['events', 'facts', 'potential', '%', 'fraud', 'transaction data', 'application', 'transaction', 'detection', 'report', 'algorithm', 'consistency', 'clusters', 'fraud detection', 'data', 'Results', 'results', 'toolkit', 'accuracy', 'calculations', 'value', 'audit']","['identified', 'improved', 'report', 'Validation', 'use', 'fraud', 'toolkit', 'accuracy', 'practices', 'transaction', 'conformity', 'audit']","Fraud Detection, Benford's Law, K-Means Clustering, Audit Toolkit, Fraudulent Practices.","Doni Wiryadinata, Aris Sugiharto, Tarno Tarno","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/47057/26588,The Use of Machine Learning to Detect Financial Transaction Fraud: Multiple Benford Law Model for Auditors
"['IndoBERT', 'Natural Language Processing', ""Bloom's Taxonomy""]","['IndoBERT', 'Indonesian Exam Question', ""Bloom's Taxonomy""]",[],"['%', 'rate', 'training', 'epoch', 'seconds', 'accuracy', 'time', 'validation', 'Precision']","['model', 'observation', 'classifying', 'observed', 'system', 'exam', 'questions', 'based', 'have', 'performance', 'school', 'classification', 'level']","IndoBERT, Fine Tuning, Indonesian Exam Question, Model Classifier, Natural Language Processing, Bloom's Taxonomy","Fikri Baharuddin, Mohammad Farid Naufal","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/47950/26589,Fine-Tuning IndoBERT for Indonesian Exam Question Classification Based on Bloom's Taxonomy
[],['Software engineering course'],['Computer science course'],"['software', 'summative assessment', 'software engineering', 'computer', 'courses', 'engineering', 'Self', 'assessment', 'methods', 'results', 'science', 'Peer', 'computer science']","['software', 'computer', 'leading', 'evaluation', 'known', 'science', 'learning', 'engineering', 'courses', 'refinement', 'framework', 'required', 'technique', 'selection']","Computer science course, Software engineering course, Student assessment, Systematic literature review","Reza Fauzan, Daniel Siahaan, Mirotus Solekhah, Vriza Wahyu Saputra, Aditya Eka Bagaskara, Muhammad Ihsan Karimi","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45480/26590,A Systematic Literature Review of Student Assessment Framework in Software Engineering Courses
[],"['BI maturity', 'Information quality.']","['BI infrastructure', 'Data-driven culture', 'Data quality']","['influence', 'Information Quality', 'maturity', 'relevance', 'analysis', 'factors']","['relationship', 'quality', 'infrastructure', 'exploring', 'impact', 'suggested', 'paved', 'effectiveness', 'systems', 'approaching', 'way', 'information', 'maturity', 'dimensions', 'investigation', 'relevance', 'perspective', 'culture', 'importance', 'study', 'driven', 'Information']","BI infrastructure, BI maturity, Data-driven culture, Data quality, Information quality.","Abdelhak Ait Touil, Siham Jabraoui","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45098/26591,Information Quality of Business Intelligence Systems: A Maturity-based Assessment
['COVID-19'],"['Auxiliary Decision System', 'COVID-19', 'Deep Learning']","['Auxiliary Decision System', 'COVID-19', 'MobileNet', 'Transfer Learning']","['model', 'performance', '%', 'transfer', 'memory', 'dataset', 'consumption', 'models', 'resource', 'samples', 'learning', 'accuracy', 'COVID-19', 'devices']","['detect', 'decision', 'take', 'system', 'screening', 'performance', 'measures', 'accelerate', 'believe', 'patients', 'prevent', 'personnel', 'use', 'workload', 'authorities', 'proposed', 'facilitate', 'casualties', 'reducing', 'allow', 'COVID-19', 'limit', 'transmission', 'method']","Auxiliary Decision System, COVID-19, CT Scan, Deep Learning, MobileNet, Transfer Learning","Md. Jawwad Bin Zahir, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/48136/26592,A Fast and Reliable Approach for COVID-19 Detection from CT-Scan Images
"['Artificial Intelligence', 'Governance']","['Artificial Intelligence', 'Deming cycle', 'Governance', 'Systematic literature review']",[],"['papers', 'domain', 'studies', 'inclusion', 'exclusion criteria', 'cycle', 'exclusion', 'criteria', 'search']","['perform', 'domains', 'cycle', 'applications', 'performance', 'usage', 'check', 'do', 'stages', 'found', 'risk', 'plan', 'emphasis', 'strategy', 'alignment', 'implementation', 'management', 'capabilities', 'driven', 'contexts', 'measurement']","Artificial Intelligence, Deming cycle, Governance, IT Governance domain, Systematic literature review","Eva Hariyanti, Made Balin Janeswari, Malvin Mikhael Moningka, Fikri Maulana Aziz, Annisa Rahma Putri, Oxy Setyo Hapsari, Nyoman Agus Arya Dwija Sutha, Yohannes Alexander Agusti Sinaga, Manik Prasanthi Bendesa","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/48186/26593,Implementations of Artificial Intelligence in Various Domains of IT Governance: A Systematic Literature Review
[],['SVM'],"['Adaptive histogram equalization', 'Anisotropic diffusion filter', 'Deep CNN', 'Machine learning', 'SVM']","['model', 'others', '%', 'dataset', 'specificity', 'sensitivity', 'learning', 'accuracy', 'time', 'models', 'transfer', 'method']","['model', 'extracts', 'consuming', 'problems', 'improves', 'features', 'time', 'proposed', 'structure', 'effectiveness', 'overfitting', 'performance', 'classification']","Adaptive histogram equalization, Anisotropic diffusion filter, Deep CNN, E-health, Machine learning, SVM, Transfer learning.","Angona Biswas, Md. Saiful Islam","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/38587/24451,A Hybrid Deep CNN-SVM Approach for Brain Tumor Classification
['COVID-19 Cases'],[],[],"['%', 'death', 'ability', 'accuracy', 'cases', 'value', 'method']","['deaths', 'COVID-19', '-', 'cases', 'validation', 'predict', 'method']","Artificial Intelligence, Artificial Neural Network (ANN) K-Fold Cross Validation, COVID-19 Cases, Data Mining, Prediction.","Nur Alifiah, Dian Kurniasari, Amanto Amanto, Warsono Warsono","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/38734/24452,Prediction of COVID-19 Using the Artificial Neural Network (ANN) with K-Fold Cross-Validation
"['E-Commerce', 'Gamification']","['E-Commerce', 'Gamification']",['Kitchenham'],"['year', 'immersion', 'user', 'points', 'research', '-', 'achievement', 'loyalty', 'engagement', 'commerce', 'rewards', 'fantasy', 'badges', 'trend', 'application', 'result', 'themes', 'behavior', 'e', 'elements', 'leaderboards', 'field', 'consumer', 'avatars', 'study', 'gamification']","['Future', 'knowledge', 'solutions', 'studies', 'find', '-', 'need', 'commerce', 'improve', 'trends', 'found', 'helps', 'application', 'challenges', 'themes', 'e', 'elements', 'overcome', 'examine', 'study', 'gamification', 'arise']","E-Commerce, Gamification, Gamification trends and applications, Kitchenham, Systematic literature review.","Muhamad Adhytia Wana Putra Rahmadhan, Dana Indra Sensuse, Ryan Randy Suryono, Kautsarina Kautsarina","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/39025/24453,Trends and Applications of Gamification in E-Commerce: A Systematic Literature Review
"['Food security', 'Rice production', 'Rice production']","['Rice production', 'Rice production', 'System dynamics']",[],N/A,"['production', 'rice', 'quality', 'yields', 'results', 'increase', 'used', 'mechanism', 'use', 'food', 'harvesting', 'maintain', 'security', 'research', 'study', 'improving', 'simulation']","Food security, Rice production, Rice production, System dynamics","Mala Rosa Aprillya, Erma Suryani","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/40449/24454,Simulation of System Dynamics for Improving The Quality of Paddy Production in Supporting Food Security
"['Adoption', 'Telemedicine']","['Adoption', 'Telemedicine']",['UTAUT2'],"['influence', 'telemedicine', 'condition', 'adults', 'privacy', 'impact', 'performance', 'behavioral intention', 'literacy', 'expectancy', 'findings', 'trust', 'value', 'intention', 'effects', 'price', 'social influence', 'effort', 'concern']","['model', 'influence', 'increase', 'telemedicine', 'condition', 'tool', 'privacy', 'healthcare', 'show', 'performance', 'usage', 'literacy', 'expectancy', 'factors', 'trust', 'strategies', 'facilitating', 'develop', 'highlights', 'adoption', 'understanding', 'intention', 'aspects', 'price', 'Results', 'concern', 'implementation', 'importance', 'study', 'effort', 'value']","Adoption, Behavioral Intention to Use, Telemedicine, UTAUT2, Virtual Healthcare.","Rima Alviani, Betty Purwandari, Imairi Eitiveni, Mardiana Purwaningsih","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/41371/24455,Factors Affecting Adoption of Telemedicine for Virtual Healthcare Services in Indonesia
['COVID-19'],"['COVID-19', 'Socioeconomic and demographic']","['COVID-19', 'Hierarchical clustering', 'Socioeconomic and demographic']","['model', 'cluster', 'conditions', 'clusters', 'COVID-19', 'cases', 'incidence']","['region', 'waves', 'considering', 'played', 'found', 'risk', 'COVID-19', 'forecast', 'study', 'cases', 'factors', 'role', 'area', 'associated']","COVID-19, Facebook Prophet , Hierarchical clustering, Socioeconomic and demographic","Siti Nur Hasanah, Yeni Herdiyeni, Medria Kusuma Dewi Hardhienata","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/42028/24456,The Impact of Socioeconomic and Demographic Factors on COVID-19 Forecasting Model
[],"['Emotion detection', 'Pearson correlation']","['Deep learning', 'Machine learning', 'Pearson correlation']","['%', 'aspect', 'accuracy', 'scenarios', 'emotion', 'sentiment', 'factor', 'correlation', 'scenario', 'factors', 'value']","['use', 'aspect', 'sentiment', 'emotion', 'correlation', 'opinion', 'understand']","Aspect-based sentiment, Deep learning, Emotion detection, Machine learning, Pearson correlation, Public opinion.","Salsabila Salsabila, Salsabila Mazya Permataning Tyas, Yasinta Romadhona, Diana Purwitasari","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/42113/24457,Aspect-based Sentiment and Correlation-based Emotion Detection on Tweets for Understanding Public Opinion of Covid-19
"['Software security', 'Software testing']","['Software testing', 'Systematic literature review']",[],"['papers', 'software', 'studies', 'domains', 'software security', 'search', 'exclusion criteria', 'criteria', 'inclusion', 'aspects', 'results', 'references', 'security', 'search results', 'software testing', 'exclusion', 'testing']","['software', 'used', 'domain', 'references', 'found', 'aspect', 'security', 'testing', 'approach']","Software security, Software testing, Security testing approach, Security threats, Systematic literature review","Halim Wildan Awalurahman, Ibrahim Hafizhan Witsqa, Indra Kharisma Raharjana, Ahmad Hoirul Basori","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/42593/24458,Security Aspect in Software Testing Perspective: A Systematic Literature Review
"['Customer', 'Orientation']","['Classification', 'Customer', 'Orientation']","['Classification', 'Customer', 'Orientation', 'Vader lexicon,']","['service quality', 'quality', '%', 'responses', 'results', 'customer', 'product', 'customer orientation', 'service', 'orientation', 'value']","['demonstrate', 'integrating', 'using', 'annotation', 'tool', 'text', 'studies', 'performance', '%', 'classifier', 'consider', 'findings', 'annotating', 'enhance', 'values', 'results', 'accuracy', 'process', 'value']","Classification, Customer, Orientation, Text analysis, Vader lexicon,","Vivine Nurcahyawati, Zuriani Mustaffa","April 28, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/43377/24459,Vader Lexicon and Support Vector Machine Algorithm to Detect Customer Sentiment Orientation
"['DX', 'Innovation', 'Open Innovation']","['DX', 'Innovation', 'Open Innovation']",[],"['scope', 'protection mechanisms', 'sub', 'climate', 'output', '-', 'governance', 'environment', 'technology', 'perspectives', 'activities', 'mechanisms', 'dimensions', 'enablers', 'export', 'protection', 'framework', 'collaboration']","['increase', 'research', 'building', 'build', 'provides', 'parameters', 'application', 'criteria', 'highlights', 'establish', 'organisation', 'values', 'maturity', 'dimensions', 'ecosystem', 'defining', 'framework', 'importance', 'study', 'success']","DX, Innovation, Open Innovation, Open Innovation Framework","Abdurrahman Abdurrahman, Aurik Gustomo, Eko Agus Prasetio, Sonny Rustiadi","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/34784/22809,Designing an Open Innovation Framework for Digital Transformation Based on Systematic Literature Review
"['COVID-19', 'Deep Learning']",['Classification'],"['CNN', 'Classification', 'Deep Learning']","['%', 'class method', 'results', 'class', 'accuracy', 'method']","['model', 'classify', 'system', 'patients', 'assist', 'using', 'reading', 'radiologists', 'viruses', 'images', 'diagnose']","COVID-19, CNN, Classification, Deep Learning","Endra Yuliawan, Shofwatul ‘Uyun","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/37958/22810,Chest X-ray Image Classification for COVID-19 diagnoses
[],"['Messenger Platform', 'Preference']","['Multiple Linear Regression', 'Preference']","['needs', 'user', 'history', 'performance', 'users', 'accessibility', 'customers', 'effectiveness', 'flexibility', 'services', 'customer services', 'interface', 'results', 'customer', 'security', 'responsiveness', 'privacy']","['messenger', 'platform', 'user', 'customer', 'creation', 'indicators', 'research', 'based', 'preferences', 'guide', 'identify']","Conjoint, Messenger Platform, Multiple Linear Regression, Preference","Evi Triandini, I Gusti Ngurah Satria Wijaya, Riza Wulandari, Ni Wayan Cahya Ayu Pratami, I Ketut Putu Suniantara, Candra Ahmadi","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/36966/22811,Identifying Messenger Platform Preferences using Multiple Linear Regression and Conjoint Analyses
[],[],[],"['kWh', 'business', 'customer', 'customers', 'capacity', 'segments', 'Segment', 'load', 'peak', 'usage']","['relationship', 'increase', 'program', 'deployed', 'marketing', 'accommodate', 'need', 'approach', 'partnership', 'segmentation', 'taken', 'handle', 'customers', 'electricity', 'increasing', 'energy', 'period', 'account', 'executives', 'business', 'base', 'premium', 'use', 'consumption', 'strategy', 'segments', 'needed', 'peak', 'customer', 'segment']",N/A,"Radit Rahmadhan, Meditya Wasesa","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/36696/22812,Segmentation using Customers Lifetime Value: Hybrid K-means Clustering and Analytic Hierarchy Process
"['Mental Health', 'Twitter']",['Mental Health'],[],"['%', 'results', 'tweets', 'increase', 'classification']","['stage', 'improved', 'tweets', 'needs', 'studies', '-', 'based', 'cases', 'performance', 'disorders', '%', 'found', 'increasing', 'lexicon', 'health', 'appears', 'future', 'categorised', 'status', 're', 'has', 'finding', 'study']","Lexicon Based, Mental Disorder, Mental Health, Naí¯ve Bayes, Twitter","Sheila Shevira, I Made Agus Dwi Suarjaya, Putu Wira Buana","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/37942/22813,Lexicon and Naive Bayes Algorithms to Detect Mental Health Situations from Twitter Data
[],[],[],"['model', '%', 'training', 'epoch', 'time', 'moles', 'experiment', 'F1', 'score', 'second']","['model', 'detect', 'scores', 'epoch', 'moles', 'performance', 'implemented', '%', 'classifying', 'improve', 'number', 'training', 'future', 'F1', 'models', 'has', 'have', 'balance', 'classification', 'melanoma', 'seconds', 'time', 'method']",N/A,"Jessica Millenia, Mohammad Farid Naufal, Joko Siswantoro","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/37995/22820,Melanoma Detection using Convolutional Neural Network with Transfer Learning on Dermoscopic and Macroscopic Images
['Brain Tumour'],"['Brain Tumour', 'Convolutional Neural Network']",['Feature Extraction'],"['model', '%', 'meningioma', 'dataset', 'classes', '3c', 'accuracy', 'glioma', 'models', 'share']","['meningioma', 'analytics', 'glioma', 'dealing', 'overfitting', 'show', 'outcomes', 'study', 'enhance', 'strategies', 'performance', 'techniques', 'classification', 'weight']","Brain Tumour, Convolutional Neural Network, Feature Extraction, Multi-Classification, Machine Learning Classifiers","Hafiza Akter Munira, Md Saiful Islam","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/37034/22814,Hybrid Deep Learning Models for Multi-classification of Tumour from Brain MRI
[],[],[],"['%', 'precision', 'accuracy', 'recall', 'models', 'study', 'application', 'forest', 'random forest']","['data', 'produce', 'use', 'accuracy', 'models', 'research', 'based', 'processing', 'forest', 'Ensemble', 'classification']",N/A,"Nur Ghaniaviyanto Ramadhan, Adiwijaya Adiwijaya","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/36500/22815,Data Mining Techniques in Handling Personality Analysis for Ideal Customers
['Dental Disease'],"['Dental Disease', 'Mamdani Fuzzy Logic', 'Naí¯ve Bayes']","['Dental Disease', 'Expert System', 'Mamdani Fuzzy Logic', 'Naí¯ve Bayes']","['logic', '%', 'patients', 'weight', 'rate', 'disease', 'methods', 'type', 'complaints', 'values', 'accuracy', 'converts', 'answers', 'method']","['diagnoses', 'accuracy', 'prediction', 'expert', 'determine', 'logic', 'method']","Dental Disease, Expert System, Mamdani Fuzzy Logic, Naí¯ve Bayes, Prediction","Linda Perdana Wanti, Oman Somantri","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/36690/22816,Comparing Fuzzy Logic Mamdani and Naí¯ve Bayes for Dental Disease Detection
[],[],[],"['airlines', 'airline', 'results', 'sub', 'Wings Air', '-', 'criteria', 'performance']","['airlines', 'information', 'airline', 'improve', 'experience', 'sub', 'provides', 'customer', 'research', '-', 'methods', 'criteria', 'performance']",N/A,"Yuniar Farida, Husna Nur Laili, Achmad Teguh Wibowo, Latifatun Nadya Desinaini, Silvia Kartika Sari","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/36432/22817,Selecting the Best-Performing Low-Cost Carrier (LCC) Airlines Using Analytical Hierarchy Process (AHP) and Elimination et Choix Traduisant la Realite (ELECTRE)
"['Information Security Risk Assessment', 'ISRA', 'Security Risk']",['ISRA'],[],"['risk assessment', 'information', 'addition', 'studies', 'risk', 'models', 'assessment', 'systems', 'information systems']","['model', 'assessments', 'needs', 'research', 'show', 'risk', 'findings', 'systems', 'according', 'develop', 'is', 'goals', 'models', 'needed', 'researchers', 'tailored', 'evaluation', 'developed', 'framework', 'computing']","Information Security Risk Assessment, ISRA, Security Risk","Rias Kumalasari Devi, Dana Indra Sensuse, Kautsarina, Ryan Randy Suryono","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/37851/22818,Information Security Risk Assessment (ISRA): A Systematic Literature Review
['Skin Cancer'],"['Deep Learning', 'ISIC 2020', 'Pre-trained Model', 'Skin Cancer']",[],"['%', 'training', 'accuracy', 'models', 'validation']","['model', '%', 'lives', 'physicians', 'science', 'accuracy', 'help', 'skin', 'cancer', 'trained', 'save', 'findings', 'study', 'validation', 'diagnose']","Deep Learning, ISIC 2020, Pre-trained Model, Skin Cancer, Transfer Learning","Subroto Singha, Priyangka Roy","October 29, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/39196/22819,Skin Cancer Classification and Comparison of Pre-trained Models Performance using Transfer Learning
['Detection'],['Calorie Calculation'],"['Augmentation', 'Calorie Calculation']","['%', 'result', 'error value', 'error', 'scenarios', 'calculation', 'score', 'F1', 'value', 'method']","['calculating', 'studies', 'food', 'combination', 'shapes', 'calories', 'result']","Augmentation, Calorie Calculation, Detection","Tiara Lestari Subaran, Transmissia Semiawan, Nurjannah Syakrani","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/30060/17519,Mask R-CNN and GrabCut Algorithm for an Image-based Calorie Estimation System
"['Early Stopping', 'Overfitting', 'YOLOv4']","['Early Stopping', 'Overfitting', 'YOLOv4']",['Training data'],"['hyperparameters', 'Patience', 'data', 'pattern', 'number', 'training', 'results', 'object', 'classes', 'accuracy', 'correlation', 'patience', 'images', 'duration']","['Patience', 'data', 'training', 'images', 'value']","Early Stopping, Overfitting, Training data, YOLOv4","Afif Rana Muhammad, Hamzah Prasetio Utomo, Priyanto Hidayatullah, Nurjannah Syakrani","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/29988/17520,Early Stopping Effectiveness for YOLOv4
['ocean currents'],[],['ERNN'],"['west', 'inputs', 'currents', 'prediction', 'east', 'state', 'surface currents', 'MAPE', '%', 'term', 'predictions', 'north', 'rate', 'surface', 'magnitude', 'layers', '°', 'results', 'evaluation', 'learning', 'ocean', 'south']","['addition', 'term', 'surface', 'predictions', 'error', 'prediction', 'studies', 'value', 'currents', 'ocean', 'smoothing', 'method']","MAPE, ERNN, ocean currents, ocean currents' velocity, ocean currents' directions","Eka Alifia Kusnanti, Dian C. Rini Novitasari, Fajar Setiawan, Aris Fanani, Mohammad Hafiyusholeh, Ghaluh Indah Permata Sari","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/30682/17558,Predicting Velocity and Direction of Ocean Surface Currents using Elman Recurrent Neural Network Method
[],"['CLSTM', 'CNN', 'RCNN']","['CLSTM', 'CNN', 'RCNN']","['yield', 'results', 'classification', 'RCNN']","['entity', 'precision', 'test', 'research', '%', 'used', 'scenarios', 'parameters', 'proven', 'result', 'labels', 'number', 'changing', 'form', 'classification', 'benefit', 'data', 'information', 'incidents', 'value']","CLSTM, CNN, Incident Classification, Multi-label Classification, RCNN","Sherly Rosa Anggraeni, Narandha Arya Ranggianto, Imam Ghozali, Chastine Fatichah, Diana Purwitasari","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/32244/17559,Deep Learning Approaches for Multi-Label Incidents Classification from Twitter Textual Information
[],"['Heterogeneous Ensembles', 'Multi-Label Classification']",['Ensemble Method'],"['model', 'learners', 'score', '%', 'top', 'machine', 'result', 'number', 'ensembles', 'base', 'data classification', 'F1', 'classification', 'data', 'learning', 'method']","['shows', 'classification', 'data', 'dimensions', 'ensembles', 'using', 'text', 'models', 'result']","Biomedical Question Classification, Ensemble Method, Heterogeneous Ensembles, Multi-Label Classification, Question Answering","Abid Famasya Abdillah, Cornelius Bagus Purnama Putra, Apriantoni Apriantoni, Safitri Juanita, Diana Purwitasari","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/32258/17560,Ensemble-based Methods for Multi-label Classification on Biomedical Question-Answer Data
[],['Convolutional Neural Network'],"['Freeman Chain Code', 'Support Vector Machine']","['scores', 'training', 'values', 'mins', 'extraction', 'precision', 'accuracy', 'score', 'recall', 'threshold', 'technique', 'testing', 'secs']","['modified', 'perform', 'using', 'scoring', 'LeNet-5', 'discovered', 'images', 'reached', 'training', 'addition', 'measure', 'intensity', 'threshold', 'extraction', 'F', 'testing', 'value', 'method']","Convolutional Neural Network, Freeman Chain Code, License Plate Character Recognition, Support Vector Machine","Firman Maulana Adhari, Taufik Fuadi Abidin, Ridha Ferdhiana","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/32497/17561,License Plate Character Recognition using Convolutional Neural Network
['Term-Weighting'],['Term-Weighting'],[],"['term', 'schemes', 'scheme', 'advantage', 'one', 'Term Frequency', 'experiments', 'performance', 'approach', 'method']","['detection', 'Future', 'dataset', 'studies', 'provides', 'provide', 'texts', 'emotion', 'dealing', 'performance', 'study', 'recommendations', 'imbalances', 'benefit']","Emotion Detection, Feature Engineering, Term-Weighting, Text Mining","Kuncahyo Setyo Nugroho, Fitra A. Bachtiar, Wayan Firdaus Mahmudy","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33017/17562,Detecting Emotion in Indonesian Tweets: A Term-Weighting Scheme Study
"['Engagement', 'Market Share']",['Market Share'],"['Causal Loop Diagram', 'Market Share', 'Stock Flow Diagram', 'System Dynamics']","['post', 'features', 'market', 'market share', 'contests', 'activities', 'share', 'engagement', 'frequency']","['information', 'module', 'features', 'media', 'technology', 'gain', 'market', 'work', 'research', 'study', 'demonstrated', 'share', 'promotion', 'needed']","Causal Loop Diagram, Engagement, Market Share, Stock Flow Diagram, System Dynamics","Erma Suryani, Rully Agus Hendrawan, Benyamin Limanto, Fatharani Wafda, Inayah Auliyah","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33166/17563,The Impact of Social Media Engagement on Market Share: A System Dynamics Model
['Digital signature'],"['Digital signature', 'consumer intention', 'finance and information system']",['structural equation modeling'],"['enterprise', 'influence', 'system', 'user', 'size', 'effect', 'involvement', 'simplicity', 'adoption', 'effects', 'departments', 'information', 'social influence', 'results', 'finance', 'management', 'signature', 'information system', 'support']","['information', 'finance', 'encourage', 'increase', 'system', 'levels', 'tools', 'adoption', 'tasks', 'efficiency', 'signature', 'research', 'doing', 'departments', 'suggests']","Digital signature, consumer intention, finance and information system, structural equation modeling, TOE and UTAUT","Ahmad Arif Santosa, Firdaus Alamsjah","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33845/17564,The Drivers of a Digital Signature System Adoption: Evidence from Finance and Information System Departments
[],['recommender system'],['backward chaining'],"['model', 'system', 'progress', 'user', 'visualization', 'acceptance', 'level', '%', 'ease', 'technology', 'conformity', 'result', 'simulation', 'utility', 'responses', 'usefulness', 'features', 'report', 'use', 'timeline', 'planning', 'study', 'recommendations', 'method']","['information', 'planning', 'system', 'visualization', 'propose', 'recommender']","Academic advising model, recommender system, backward chaining, goal-driven, technology acceptance model, certainty factor","Cut Fiarni, Arif Samuel Gunawan, Fredrick Victor","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33643/17565,Academic Recommender System Using Engagement Advising and Backward Chaining Model
[],[],[],N/A,N/A,N/A,N/A,"April 28, 2022",N/A,Front Matters
[],[],[],N/A,N/A,N/A,N/A,"April 28, 2022",N/A,Back Matters
