Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
Question-answer (QA) is a popular method to seek health-related information and biomedical data. Such questions can refer to more than one medical entity (multi-label) so determining the correct tags is not easy. The question classification (QC) mechanism in a QA system can narrow down the answers we are seeking.,This study develops a multi-label classification using the heterogeneous ensembles method to improve accuracy in biomedical data with long text dimensions.,"We used the ensemble method with heterogeneous deep learning and machine learning for multi-label extended text classification. There are 15 various single models consisting of three deep learning (CNN, LSTM, and BERT) and four machine learning algorithms (SVM, kNN, Decision Tree, and Naí¯ve Bayes) with various text representations (TF-IDF, Word2Vec, and FastText). We used the bagging approach with a hard voting mechanism for the decision-making.","The result shows that deep learning is more powerful than machine learning as a single multi-label biomedical data classification method. Moreover, we found that top-three was the best number of base learners by combining the ensembles method. Heterogeneous-based ensembles with three learners resulted in an F1-score of 82.3%, which is better than the best single model by CNN with an F1-score of 80%.",A multi-label classification of biomedical QA using ensemble models is better than single models. The result shows that heterogeneous ensembles are more potent than homogeneous ensembles on biomedical QA data with long text dimensions.,"Biomedical Question Classification, Ensemble Method, Heterogeneous Ensembles, Multi-Label Classification, Question Answering","Abid Famasya Abdillah, Cornelius Bagus Purnama Putra, Apriantoni Apriantoni, Safitri Juanita, Diana Purwitasari","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/32258/17560,Ensemble-based Methods for Multi-label Classification on Biomedical Question-Answer Data
"In the last decade, the number of registered vehicles has grown exponentially. With more vehicles on the road, traffic jams, accidents, and violations also increase. A license plate plays a key role in solving such problems because it stores a vehicle's historical information. Therefore, automated license-plate character recognition is needed.",This study proposes a recognition system that uses convolutional neural network (CNN) architectures to recognize characters from a license plate's images. We called it a modified LeNet-5 architecture.,"We used four different CNN architectures to recognize license plate characters: AlexNet, LeNet-5, modified LeNet-5, and ResNet-50 architectures. We evaluated the performance based on their accuracy and computation time. We compared the deep learning methods with the Freeman chain code (FCC) extraction with support vector machine (SVM). We also evaluated the Otsu and the threshold binarization performances when applied in the FCC extraction method.","The ResNet-50 and modified LeNet-5 produces the best accuracy during the training at 0.97. The precision and recall scores of the ResNet-50 are both 0.97, while the modified LeNet-5's values are 0.98 and 0.96, respectively. The modified LeNet-5 shows a slightly higher precision score but a lower recall score. The modified LeNet-5 shows a slightly lower accuracy during the testing than ResNet-50. Meanwhile, the Otsu binarization's FCC extraction is better than the threshold binarization. Overall, the FCC extraction technique performs less effectively than CNN. The modified LeNet-5 computes the fastest at 7 mins and 57 secs, while ResNet-50 needs 42 mins and 11 secs.","We discovered that CNN is better than the FCC extraction method with SVM. Both ResNet-50 and the modified LeNet-5 perform best during the training, with F measure scoring 0.97. However, ResNet-50 outperforms the modified LeNet-5 during the testing, with F-measure at 0.97 and 1.00, respectively. In addition, the FCC extraction using the Otsu binarization is better than the threshold binarization. Otsu binarization reached 0.91, higher than the static threshold binarization at 127. In addition, Otsu binarization produces a dynamic threshold value depending on the images' light intensity.","Convolutional Neural Network, Freeman Chain Code, License Plate Character Recognition, Support Vector Machine","Firman Maulana Adhari, Taufik Fuadi Abidin, Ridha Ferdhiana","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/32497/17561,License Plate Character Recognition using Convolutional Neural Network
Term-weighting plays a key role in detecting emotion in texts. Studies in term-weighting schemes aim to improve short text classification by distinguishing terms accurately.,This study aims to formulate the best term-weighting schemes and discover the relationship between n-gram combinations and different classification algorithms in detecting emotion in Twitter texts.,"The data used was the Indonesian Twitter Emotion Dataset, with features generated through different n-gram combinations. Two approaches assign weights to the features. Tests were carried out using ten-fold cross-validation on three classification algorithms. The performance of the model was measured using accuracy and F1 score.","The term-weighting schemes with the highest performance are Term Frequency-Inverse Category Frequency (TF-ICF) and Term Frequency-Relevance Frequency (TF-RF). The scheme with a supervised approach performed better than the unsupervised one. However, we did not find a consistent advantage as some of the experiments found that Term Frequency-Inverse Document Frequency (TF-IDF) also performed exceptionally well. The traditional TF-IDF method remains worth considering as a term-weighting scheme.",This study provides recommendations for emotion detection in texts. Future studies can benefit from dealing with imbalances in the dataset to provide better performance.,"Emotion Detection, Feature Engineering, Term-Weighting, Text Mining","Kuncahyo Setyo Nugroho, Fitra A. Bachtiar, Wayan Firdaus Mahmudy","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33017/17562,Detecting Emotion in Indonesian Tweets: A Term-Weighting Scheme Study
"Some studies have shown that Return on Total Assets is a strategy to increase market share. Other studies have also shown that social media like WeChat can increase market share. However, no studies have considered Instagram engagement in increasing market share.",This study aims to identify variable linkage that increases market share through a dynamic system approach in small and medium-sized enterprises (SMEs).,"Using a System Dynamics approach, this study presents a model simulation with a proposed increase in market share by considering Instagram features. This approach creates a Causal Loop Diagram converted into a simulated Stock Flow Diagram. The value generated from the simulation is validated with the mean comparison and % error variance formulas.","Instagram engagement increases market share from 0.009 to 0.018. Such engagement can be increased by posting regularly and doing more activities, such as increasing post frequency, holding contests, and maximizing all features.","This study has successfully modeled information technology, i.e., a promotion module on social media. However, this work has not yet demonstrated how the features can gain more market share, so future research is needed.","Causal Loop Diagram, Engagement, Market Share, Stock Flow Diagram, System Dynamics","Erma Suryani, Rully Agus Hendrawan, Benyamin Limanto, Fatharani Wafda, Inayah Auliyah","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33166/17563,The Impact of Social Media Engagement on Market Share: A System Dynamics Model
"With the massive e-commerce transactions and document transfers, reliable system protection is needed. A digital signature is a tool that consists of encryption and decryption algorithms in a secret key to prevent data theft and online fraud.",This research proposes an integrated technology-organization-environment (TOE) and the unified theory of acceptance and use of technology (UTAUT) to determine the factors affecting consumer intention to adopt the digital signature system. This research uses finance and information system departments' perspectives in various industries.,The analytical method is the Structural Equation Modeling (SEM) approach using the Smart Partial Least Square statistical version 3.0 software to examine the hypothesized connections between latent variables.,"The results show that support from top management, size of the enterprise, and social influence have significant and positive effects on digital signature adoption. Meanwhile, user involvement and perceived simplicity have a negative effect on the adoption of a digital signature system in finance and information system departments.",The current research suggests that executive levels in the finance and information system departments encourage the adoption of digital signature tools in doing daily tasks to increase efficiency.,"Digital signature, consumer intention, finance and information system, structural equation modeling, TOE and UTAUT","Ahmad Arif Santosa, Firdaus Alamsjah","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33845/17564,The Drivers of a Digital Signature System Adoption: Evidence from Finance and Information System Departments
The goal of academic supervision is to help students plan their academic journey and graduate on time. An intelligent support system is needed to spot potentially struggling students and identify the issues as early as possible.,"This study aims to develop an academic advising recommender system that improves decision-making through system utility, ease of use, and clearly visualized information. The study also aims to find the best advising relationship model to be implemented in the proposed system.",The system was modeled by following the hybrid approach to obtain information and suggest recommended actions. The recommendation was modeled by backward chaining to prevent students from dropping out.,"To validate the recommendations given by the proposed system, we used conformity level, and the result was 94.45%. To evaluate the utility of the system, we used the backbox method, resulting in satisfactory responses. Lastly, to evaluate user acceptance, we used the technology acceptance model (TAM), resulting in 85% ease of use and 91.2% perceived usefulness for the four main features, study planning, graduate timeline simulation, progress report, and visualization of academic KPIs.",We propose an academic recommender system with KPIs visualization and academic planning information.,"Academic advising model, recommender system, backward chaining, goal-driven, technology acceptance model, certainty factor","Cut Fiarni, Arif Samuel Gunawan, Fredrick Victor","April 26, 2022",https://e-journal.unair.ac.id/JISEBI/article/view/33643/17565,Academic Recommender System Using Engagement Advising and Backward Chaining Model
N/A,N/A,N/A,N/A,N/A,N/A,N/A,"April 28, 2022",N/A,Front Matters
N/A,N/A,N/A,N/A,N/A,N/A,N/A,"April 28, 2022",N/A,Back Matters
N/A,N/A,N/A,N/A,N/A,N/A,Front Matters,"October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/31114/16029,Front Matters
N/A,N/A,N/A,N/A,N/A,N/A,Back Matters,"October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/31115/16030,Back Matters
Peer-to-peer (P2P) lending platform is one of key disruptive business models in financial technology. It bridges lenders and borrowers directly. Researchers have studied the leverage mechanism behind the P2P lending platform.,This research proposes an enhanced technology acceptance model (TAM) to investigate how consumers embrace P2P lending platforms using quality of service and perceived risk as drivers of trust.,This research uses structural equation modeling (SEM) to test the hypothesised connections between the latent variables.,"The findings show that users' trust, perceived usefulness, and perceived ease of use in P2P lending platforms significantly influence attitudes towards adoption. Meanwhile, consumers' perceived risk in using P2P lending platforms is unaffected by the quality of service.","The estimated model is consistent with the results shown in previous studies.  The findings of the current research are useful for fine-tuning platform marketing plans and putting strategic goals into actions. For future research, we suggest including more variables to better understand the adoption intention of P2P lending platforms.","Adoption intention, Peer-to-peer lending, Structural equation modeling, Technology acceptance model","Rudy Sunardi, Usep Suhud, Dedi Purwana, Hamidah Hamidah","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28292/15932,Examining the Factors Contributing to Fintech Peer-to-peer Lending Adoption
"To remain relevant in the customer-oriented market, hospitals must pay attention to the quality of services and meet customers' expectations from admission to discharge stage. For an outpatient customer, pharmacy is the last unit visited before discharge. It is likely to influence patient satisfaction and reflect the quality of hospital's service. However, at certain hospitals, the waiting time is long. Resources need to be deployed strategically to reduce queue time.",This research aims to arrange the number of staff (pharmacists and workers) in each station in the pharmacy outpatient service to minimise the queue time.,A discrete simulation method is used to observe the waiting time spent at the pharmacy. The simulation run is valid and effective to test the scenario.,It is recommended to add more personnel for the non-compounding medicine and packaging to reduce the waiting time by 22.41%,"By adding personnel to non-compounding and packaging stations, the system performance could be improved. Cost-effectiveness analysis should be done to corroborate the finding.","Discrete Event Simulation, Hospital, Outpatient Service, Pharmacy Unit, System AnalysisBackground: To remain relevant in the customer-oriented market, hospitals must pay attention to the quality of services and meet customers' expectations from admission to discharge stage. For an outpatient customer, pharmacy is the last unit visited before discharge. It is likely to influence patient satisfaction and reflect the quality of hospital's service. However, at certain hospitals, the waiting time is long. Resources need to be deployed strategically to reduce queue time. Objective: This research aims to arrange the number of staff (pharmacists and workers) in each station in the pharmacy outpatient service to minimise the queue time.Methods: A discrete simulation method is used to observe the waiting time spent at the pharmacy. The simulation run is valid and effective to test the scenario. Results: It is recommended to add more personnel for the non-compounding medicine and packaging to reduce the waiting time by 22.41%Conclusion: By adding personnel to non-compounding and packaging stations, the system performance could be improved. Cost-effectiveness analysis should be done to corroborate the finding. Keywords:Discrete Event Simulation, Hospital, Outpatient Service, Pharmacy Unit, System Analysis","Putri Amelia, Artya Lathifah, Muhammad Dliya'ul Haq, Christoph Lorenz Reimann, Yudi Setiawan","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26288/15933,Optimising Outpatient Pharmacy Staffing to Minimise Patients Queue Time using Discrete Event Simulation
Commuting time is highly influenced by traffic congestion. System dynamics simulation can help identify the cause of traffic problems to improve travel time efficiency.,This study aims to reduce traffic congestion and minimise commuting time efficiency using system dynamics simulation and scenarios. The developed scenarios implement the Bus Rapid Transit (BRT) and trams projects in the model.,System dynamics simulation is used to analyse the transport system in Surabaya and the impact of BRT and trams project implementation in the model in order to improve commuting time and to reduce congestion.,"From the simulation results, with the implementation of BRT and tram projects along with highway expansion, traffic congestion is predicted to decline by 24-44%.  With the reduction of traffic congestion, travel time efficiency is predicted to improve by 11-28%. On the contrary, implementation of BRT and tram project without highway expansion is predicted to increase the traffic congestion by 5% in the initial year of implementation, then traffic congestion is predicted to decline by 2% in 2035.","Based on the scenarios, transport project implementation such as BRT and trams should be accompanied with improvement of infrastructure. Further research is needed to develop a more comprehensive transportation system to capture a broader view of the problem.","Model, Simulation, System Dynamics, Traffic Congestion, Travel Time","Shabrina Luthfiani Khanza, Erma Suryani, Rully Agus Hendrawan","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28681/15934,Scenario Model to Mitigate Traffic Congestion and Improve Commuting Time Efficiency
"The introduction of Kartu Prakerja (Pre-employment Card) Programme, henceforth KPP, which was claimed to have launched in order to improve the quality of workforce, spurred controversy among members of the public. The discussion covered the amount of budget, the training materials and the operations brought out various reactions. Opinions could be largely divided into groups: the positive and the negative sentiments.",This research aims to propose an automated sentiment analysis that focuses on KPP. The findings are expected to be useful in evaluating the services and facilities provided.,"In the sentiment analysis, Support Vector Machine (SVM) in text mining was used with Radial Basis Function (RBF) kernel. The data consisted of 500 tweets from July to October 2020, which were divided into two sets: 80% data for training and 20% data for testing with five-fold cross validation.","The results of descriptive analysis show that from the total 500 tweets, 60% were negative sentiments and 40% were positive sentiments. The classification in the testing data show that the average accuracy, sensitivity, specificity, negative sentiment prediction and positive sentiment prediction values were 85.20%; 91.68%; 75.75%; 85.03%; and 86.04%, respectively.","The classification results show that SVM with RBF kernel performs well in the opinion classification. This method can be used to understand similar sentiment analysis in the future. In KPP case, the findings can inform the stakeholders to improve the programmes in the future.","Kartu Prakerja, Sentiment Analysis, Support Vector Machine, Text Mining, Radial Basis Function","Belindha Ayu Ardhani, Nur Chamidah, Toha Saifudin","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26650/15935,Sentiment Analysis Towards Kartu Prakerja Using Text Mining with Support Vector Machine and Radial Basis Function Kernel
"Standard operating procedure (SOP) is a series of business activities to achieve organisational goals, with each activity carried to be recorded and stored in the information system together with its location (e.g., SCM, ERP, LMS, CRM). The activity is known as event data and is stored in a database known as an event log.","Based on the event log, we can calculate the fitness to determine whether the business process SOP is following the actual business process.","This study obtains the event log from a terminal operating system (TOS), which records the dwelling time at the container port. The conformance checking using token-based replay method calculates fitness by comparing the event log with the process model.","The findings using the Alpha algorithm resulted in the most traversed traces (a, b, n, o, p). The fitness calculation returns 1.0 were produced, missing, and remaining tokens are replied to each of the other traces.","Thus, if the process mining produces a fitness of more than 0.80, this shows that the process model is following the actual business process.","Conformance Checking, Dwelling time, Event log, Fitness, Process Discovery, Process Mining","Bambang Jokonowo, Nenden Siti Fatonah, Emelia Akashah Patah Akhir","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28515/15936,Conformance Checking of Dwelling Time Using a Token-based Method
Inventory policy highly influences Supply Chain Management (SCM) process. Evidence suggests that almost half of SCM costs are set off by stock-related expenses.,This paper aims to minimise total inventory cost in SCM by applying a multi-agent-based machine learning called Reinforcement Learning (RL).,"The ability of RL in finding a hidden pattern of inventory policy is run under various constraints which have not been addressed together or simultaneously in previous research. These include capacitated manufacturer and warehouse, limitation of order to suppliers, stochastic demand, lead time uncertainty and multi-sourcing supply. RL was run through Q-Learning with four experiments and 1,000 iterations to examine its result consistency. Then, RL was contrasted to the previous mathematical method to check its efficiency in reducing inventory costs.","After 1,000 trial-error simulations, the most striking finding is that RL can perform more efficiently than the mathematical approach by placing optimum order quantities at the right time. In addition, this result was achieved under complex constraints and assumptions which have not been simultaneously simulated in previous studies.","Results confirm that the RL approach will be invaluable when implemented to comparable supply network environments expressed in this project. Since RL still leads to higher shortages in this research, combining RL with other machine learning algorithms is suggested to have more robust end-to-end SCM analysis.","Inventory Policy, Multi-Echelon, Reinforcement Learning, Supply Chain Management, Q-Learning",Ika Nurkasanah,"October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28766/15937,Reinforcement Learning Approach for Efficient Inventory Policy in Multi-Echelon Supply Chain Under Various Assumptions and Constraints
"Human face is a biometric feature. Artificial Intelligence (AI) called Artificial Neural Network (ANN) can be used in recognising such a biometric feature. In ANN, the learning process is divided into two: supervised and unsupervised learning. In supervised learning, a common method used is Backpropagation, while in the unsupervised learning, a common one is Kohonen Self Organizing Map (KSOM). However, the application of Backpropagation and KSOM need to be adjusted to improve the performance.","In this study, Backpropagation and KSOM algorithms are rewritten to suit face image recognition, applied and compared to determine the effectiveness of each algorithm in solving face image recognition.","In this study, the methods used and compared in the case of face image recognition are Backpropagation dan Kohonen Self Organizing Map (KSOM)Artificial Neural Network (ANN).","The smallest False Acceptance Rate (FAR) value of Backpropagation is 28%, and KSOM is 36%, out of 50 unregistered face images tested. While the smallest False Rejection Rate (FRR) value of Backpropagation is 22%, and KSOM is 30%, out of 50 registered face images. The fastest time for the training process using the backpropagation method is 7.14 seconds, and the fastest time for recognition is 0.71 seconds. While the fastest time for the training process using the KSOM method is 5.35 seconds, and the fastest time for recognition is 0.50 seconds.","Backpropagation method is better in recognising face images than KSOM method, but the training process and the recognition process by KSOM method are faster than Backpropagation method due to the hidden layers.","Artificial Neural Network (ANN), Backpropagation, Kohonen Self Organizing Map (KSOM), Supervised learning, Unsupervised learning","Lady Silk Moonlight, Fiqqih Faizah, Yuyun Suprapto, Nyaris Pambudiyatno","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/28191/15938,Comparison of Backpropagation and Kohonen Self Organising Map (KSOM) Methods in Face Image Recognition
"Technology acceptance model (TAM) has been extensively used to analyse user acceptance of technologies adopted by enterprises at different levels. Moreover, the technology adoption has drawn attention among practitioners and academic communities alike, leading to the development of approaches to understand the concept. However, there is a degree of inconsistency found in previous studies on different types of TAM models used in explaining user acceptance of technologies among small-medium enterprises (SMEs).","This critical literature review aims to synthesise the technology adoption scholarly studies using TAM. It is expected to aid the identification of the most relevant factors influencing SMEs in adopting technology. Additionally, analysing the variations of TAM developed in previous studies could provide suggested variables specific to the type of technology industry.","An integrated approach was used, and this involves a review of articles on the adoption of technologies in SMEs from 2011 to 2021, retrieved from popular databases using a mixture of keywords such as technology acceptance model (TAM), technology adoption, and technology adoption in SMEs.","An overview of TAM studies on user acceptance of technology in this review covers a wide range of research areas from financial technology to human resource management-related technology. Perceived usefulness and perceived ease of use were discovered to be the most common factors in TAM from the 21 articles reviewed. Meanwhile, some other variables were observed such as context, type of technology and level of user experience.","The review highlights key trends in previous studies on IT adoption in SMEs, which assist researchers and developers in understanding the most relevant factors and suitable TAM models in determining user acceptance in a particular field.","Technology Acceptance Model, Technology Adoption, Small-medium Enterprises, Critical Review","Adisthy Shabrina Nurqamarani, Eddy Sogiarto, Nurlaeli Nurlaeli","October 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/27887/15939,Technology Adoption in Small-Medium Enterprises based on Technology Acceptance Model: A Critical Review
N/A,N/A,N/A,N/A,N/A,N/A,Front Matters,"April 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26790/14102,Front Matters
N/A,N/A,N/A,N/A,N/A,N/A,Back Matters,"April 28, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/26791/14103,Back Matters
"Student admission at universities aims to select the best candidates who will excel and finish their studies on time. There are many factors to be considered in student admission. To assist the process, an intelligent model is needed to spot the potentially high achieving students, as well as to identify potentially struggling students as early as possible.","This research uses K-means clustering to predict students' grade point average (GPA) based on students' profile, such as high school status and location, university entrance test score and English language competence.","Students' data from class of 2008 to 2017 are used to create two clusters using K-means clustering algorithm. Two centroids from the clusters are used to classify all the data into two groups:  high GPA and low GPA. We use the data from class of 2018 as test data.  The performance of the prediction is measured using accuracy, precision and recall.","Based on the analysis, the K-means clustering method is 78.59% accurate among the merit-based-admission students and 94.627% among the regular-admission students.","The prediction involving merit-based-admission students has lower predictive accuracy values than that of involving regular-admission students because the clustering model for the merit-based-admission data is K = 3, but for the prediction, the assumption is K = 2.",N/A,"Raden Gunawan Santosa, Yuan Lukito, Antonius Rachmat Chrismanto","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/22395/13988,Classification and Prediction of Students' GPA Using K-Means Clustering Algorithm to Assist Student Admission Process
"Stock investment has been gaining momentum in the past years due to the development of technology. During the pandemic lockdown, people have invested more. One the one hand, stock investment has high potential profitability, but on the other, it is equally risky. Therefore, a value at risk (VaR) analysis is needed. One approach to calculate VaR is by using the Bayesian mixture model, which has been proven to be able to overcome heavy-tailed cases. Then, the VaR's accuracy needs to be tested, and one of the ways is by using backtesting, such as the Kupiec test.","This study aims to determine the VaR model of PT NFC Indonesia Tbk (NFCX) return data using Bayesian mixture modelling and backtesting. On a practical level, this study can provide information about the potential risks of investing that is grounded in empirical evidence.","The data used was NFCX data retrieved from Yahoo Finance, which was then modelled with a mixture model based on the normal and Laplace distributions. After that, the VaR accuracy was calculated and then tested by using backtesting.","The test results showed that the VaR with the mixture Laplace autoregressive (MLAR) approach (2;[2],[4]) was accurate at 5% and 1% quantiles while mixture normal autoregressive MNAR (2;[2],[2,4]) was only accurate at 5% quantiles.","The better performing NFCX VaR model for this study based on backtesting using Kupiec test is MLAR(2;[2],[4]).",N/A,"Brina Miftahurrohmah, Catur Wulandari, Yogantara Setya Dharmawan","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/22762/13989,Investment Modelling Using Value at Risk Bayesian Mixture Modelling Approach and Backtesting to Assess Stock Risk
"The COVID-19 pandemic has made people spend more time on online meetings more than ever. The prolonged time looking at the monitor may cause fatigue, which can subsequently impact the mental and physical health. A fatigue detection system is needed to monitor the Internet users well-being. Previous research related to the fatigue detection system used a fuzzy system, but the accuracy was below 85%. In this research, machine learning is used to improve accuracy.",This research examines the combination of the FaceNet algorithm with either k-nearest neighbor (K-NN) or multiclass support vector machine (SVM) to improve the accuracy.,"In this study, we used the UTA-RLDD dataset. The features used for fatigue detection come from the face, so the dataset is segmented using the Haar Cascades method, which is then resized. The feature extraction process uses FaceNet's pre-trained algorithm. The extracted features are classified into three classes”focused, unfocused, and fatigue”using the K-NN or multiclass SVM method.","The combination between the FaceNet algorithm and K-NN, with a value of  resulted in a better accuracy than the FaceNet algorithm with multiclass SVM with the polynomial kernel (at 94.68% and 89.87% respectively). The processing speed of both combinations of methods has allowed for real-time data processing.",This research provides an overview of methods for early fatigue detection while working at the computer so that we can limit staring at the computer screen too long and switch places to maintain the health of our eyes.,N/A,"Faisal Dharma Adhinata, Diovianto Putra Rakhmadani, Danur Wijayanto","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/24144/13990,Fatigue Detection on Face Image Using FaceNet Algorithm and K-Nearest Neighbor Classifier
"The novel coronavirus disease 2019 (COVID-19) has been spreading rapidly across the world and infected millions of people, many of whom died. As part of the response plans, many countries have been attempting to restrict people's mobility by launching social distancing protocol, including in Indonesia. It is then necessary to identify the campaign's impact and analyze the influence of mobility patterns on the pandemic's transmission rate.","Using mobility data from Google and Apple, this research discovers that COVID-19 daily new cases in Indonesia are mostly related to the mobility trends in the previous eight days.",We generate ten-day predictions of COVID-19 daily new cases and Indonesians' mobility by using Long-Short Term Memory (LSTM) algorithm to provide insight for future implementation of social distancing policies.,"We found that all eight-mobility categories result in the highest accumulation correlation values between COVID-19 daily new cases and the mobility eight days before. We forecast of the pandemic daily new cases in Indonesia, DKI Jakarta and worldwide (with error on MAPE 6.2% - 9.4%) as well as the mobility trends in Indonesia and DKI Jakarta (with error on MAPE 6.4 - 287.3%).","We discover that the driver behind the rapid transmission in Indonesia is the number of visits to retail and recreation, groceries and pharmacies, and parks. In contrast, the mobility to the workplaces negatively correlates with the pandemic spread rate.",N/A,"Syafira Fitri Auliya, Nurcahyani Wulandari","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25241/13991,The Impact of Mobility Patterns on the Spread of the COVID-19 in Indonesia
"Handwriting recognition becomes an appreciable research area because of its important practical applications, but varieties of writing patterns make automatic classification a challenging task. Classifying handwritten digits with a higher accuracy is needed to improve the limitations from past research, which mostly used deep learning approaches.","Two most noteworthy limitations are low accuracy and slow computational speed. The current study is to model a      Convolutional Neural Network (CNN), which is simple yet more accurate in classifying English handwritten digits for different datasets. Novelty of this paper is to explore an efficient CNN architecture that can classify digits of different datasets accurately.","The author proposed five different CNN architectures for training and validation tasks with two datasets. Dataset-1 consists of 12,000 MNIST data and Dataset-2 consists of 29,400-digit data of Kaggle. The proposed CNN models extract the features first and then performs the classification tasks. For the performance optimization, the models utilized stochastic gradient descent with momentum optimizer.","Among the five models, one was found to be the best performer, with 99.53% and 98.93% of validation accuracy for Dataset-1 and Dataset-2 respectively. Compared to Adam and RMSProp optimizers, stochastic gradient descent with momentum yielded the highest accuracy.",The proposed best CNN model has the simplest architecture. It provides a higher accuracy for different datasets and takes less computational time. The validation accuracy of the proposed model is also higher than those of in past works.,N/A,"Angona Biswas, Md. Saiful Islam","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/24237/13992,An Efficient CNN Model for Automated Digital Handwritten Digit Classification
"TheCOVID-19 pandemic remains a problem in 2021. Health protocols are needed to prevent the spread, including wearing a face mask. Enforcing people to wear face masks is tiring. AI can be used to classify images for face mask detection. There are a lot of image classification algorithm for face mask detection, but there are still no studies that compare their performance.","This study aims to compare the classification algorithms of classical machine learning. They are k-nearest neighbors (KNN), support vector machine (SVM), and a widely used deep learning algorithm for image classification which is convolutional neural network (CNN) for face masks detection.","This study uses 5 and 3 cross-validation for assessing the performance of KNN, SVM, and CNN in face mask detection.","CNN has the best average performance with the accuracy of 0.9683 and average execution time of 2,507.802 seconds for classifying 3,725 faces with mask and 3,828 faces without mask images.","For a large amount of image data, KNN and SVM can be used as temporary algorithms in face mask detection due to their faster execution times. At the same time, CNN can be trained to form a classification model. In this case, it is advisable to use CNN for classification because it has better performance than KNN and SVM. In the future, the classification model can be implemented for automatic alert system to detect and warn people who are not wearing face masks.",N/A,"Mohammad Farid Naufal, Selvia Ferdiana Kusuma, Zefanya Ardya Prayuska, Ang Alexander Yoshua, Yohanes Albert Lauwoto, Nicky Setyawan Dinata, David Sugiarto","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25167/13993,Comparative Analysis of Image Classification Algorithms for Face Mask Detection
"Facilitating an effective learning process is the goal of higher education institutions. Despite improvement in curriculum and resources, many students cannot graduate on time. Mostly, the number of students who graduate on time is lower than the number of new students enrolling to universities. This could dilute the chance for students to learn effectively as the ratio between faculty members and students becomes non-ideal.","This study aims to present a prediction model for students' on-time graduation using the C4.5 algorithm by considering four features, namely the department, GPA, English score, and age.","This research was completed in three stages: data pre-processing, data processing and performance measurement. This predicting scheme make the prediction based on the department of study, age, GPA and English proficiency.",The results of this study have successfully predicted students' graduation. This result is based on the data of students who graduated in 2008-2014. The prediction performance result achieved 90% of accuracy using 300 testing data.,The finding is expected to be useful for universities in administering their teaching and learning process.,N/A,"Herman Yuliansyah, Rahmasari Adi Putri Imaniati, Anggit Wirasto, Merlinda Wibowo","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25182/13994,Predicting Students Graduate on Time Using C4.5 Algorithm
"Cancer patients can experience both physical and non-physical problems such as psychosocial, spiritual, and emotional problems, which impact the quality of life. Previous studies on quality of life mostly have employed multivariate analyses. To our knowledge, no studies have focused yet on the underlying causal relationship between factors representing the quality of life of cancer patients, which is very important when attempting to improve the quality of life.",The study aims to model the causal relationships between the factors that represent cancer and quality of life.,"This study uses the S3C-Latent method to estimate the causal model relationships between the factors. The S3C-Latent method combines Structural Equation Model (SEM), a multi objective optimization method, and the stability selection approach, to estimate a stable and parsimonious causal model.","There are nine causal relations that have been found, i.e., from physical to global health with a reliability score of 0.73, to performance status with a reliability score of 1, from emotional to global health with a reliability score of 0.71, to performance status with a reliability score of 0.82, from nausea, loss of appetite, dyspnea, insomnia, loss of appetite and from constipation to performance status with reliability scores of 0.76; 1; 0.61; 0.76; 0.72; 0.70, respectively. Moreover, this study found that 15 associations (strong relation where the causal direction cannot be determined from the data alone) between factors with reliability scores range from 0.65 to 1.","The estimated model is consistent with the results shown in previous studies. The model is expected to provide evidence-based recommendation for health care providers in designing strategies to increase cancer patients' life quality. For future research, we suggest studies to include more variables in the model to capture a broader view to the problem.",N/A,"Yohani Setiya Rafika Nur, Ridho Rahmadi, Christantie Effendy","April 27, 2021",https://e-journal.unair.ac.id/JISEBI/article/view/25685/13995,Causal Modeling Between Factors on Quality of Life in Cancer Patients Using S3C-Latent Algorithm
